Email,First Name,Last Name,Residential Address Street,Residential Address Locality,Residential Address State,Residential Address Postcode,Postal Address Street,Postal Address Locality,Postal Address State,Postal Address Postcode,Full_Residential_Address,Full_Postal_Address,Postal_co-ordinates
salvatore_schuppe@gmail.com,Aidan,Kuhlman,201 Durgan Mall,ANNADALE,SA,5356,26 Cassin Knoll,ALEXANDRA HEADLAND,QLD,4572,"ANNADALE, SA, 5356","ALEXANDRA HEADLAND, QLD, 4572","(-26.669601999999998, 153.10175199135801)"
karl@yahoo.com,Alexandra,Clarke,6591 Natalie Meadow,ARROWSMITH,WA,6525,8719 Adams Place,ANSONS BAY,TAS,7264,"ARROWSMITH, WA, 6525","ANSONS BAY, TAS, 7264","(-41.0372935, 148.2691093)"
karyn.kub@gmail.com,Samantha,Champlin,79 Eve Pass,ADARE,QLD,4343,67 Erdman Island,AUGATHELLA,QLD,4477,"ADARE, QLD, 4343","AUGATHELLA, QLD, 4477","(-25.7968515, 146.5891538)"
mackenzie_auer@gmail.com,Cameron,Haley,351 Heidi Court,ALPHINGTON,VIC,3078,460 Mccullough Manor,AIRVILLE,QLD,4807,"ALPHINGTON, VIC, 3078","AIRVILLE, QLD, 4807","(-19.6372465, 147.35056619813304)"
lea.cummings@hotmail.com,Daniel,Braun,80 Ernser Avenue,ANNADALE,SA,5356,89 Eva Boulevard,AIRLY,VIC,3851,"ANNADALE, SA, 5356","AIRLY, VIC, 3851","(-38.025259, 147.10062811660103)"
julian@yahoo.com,Luke,Dare,544 Sanford Pass,AYLMERTON,NSW,2575,715 Tremblay Street,ARTHUR RIVER,TAS,7330,"AYLMERTON, NSW, 2575","ARTHUR RIVER, TAS, 7330","(-41.0494219, 144.667346)"
sandee@yahoo.com,Blake,Feeney,2442 Grimes Island,ASHMONT,NSW,2650,174 Isabelle Track,AVISFORD,NSW,2850,"ASHMONT, NSW, 2650","AVISFORD, NSW, 2850","(-32.739771, 149.4823469)"
camille_hintz@yahoo.com,William,Walter,4945 Chloe Parkway,MILLERBURGH,NSW,1270,93 Maya Lane,NATESIDE,ACT,6202,"MILLERBURGH, NSW, 1270","NATESIDE, ACT, 6202",Nan
twila_morar@yahoo.com,Bella,Lockman,8813 Emily Meadow,ARMSTRONG CREEK,VIC,3217,74 Ali Circuit,ALLWORTH,NSW,2425,"ARMSTRONG CREEK, VIC, 3217","ALLWORTH, NSW, 2425","(-32.5399586, 151.9589534)"
maryjo@yahoo.com,Lucy,Stokes,888 Mackenzie Ridge,AARONS PASS,NSW,2850,7423 Crooks Crest,ADAMSTOWN,NSW,2289,"AARONS PASS, NSW, 2850","ADAMSTOWN, NSW, 2289","(-32.9337786, 151.7200237)"
phillip@gmail.com,Archie,Barton,41 Taylor View Rd,ANGLEDOOL,NSW,2834,796 Madison Crest,ALMONDS,VIC,3727,"ANGLEDOOL, NSW, 2834","ALMONDS, VIC, 3727","(-36.2341665, 146.05603068699222)"
sol@gmail.com,Jett,Monahan,8845 Braun Hill,ARMADALE,WA,6112,61 Emily Place,ANAMBAH,NSW,2320,"ARMADALE, WA, 6112","ANAMBAH, NSW, 2320","(-32.6733333, 151.4927778)"
aileen.berge@yahoo.com,Phoebe,Dare,823 O'neill Place,ALLENS RIVULET,TAS,7150,58 Walsh Trail,ARAKOON,NSW,2431,"ALLENS RIVULET, TAS, 7150","ARAKOON, NSW, 2431","(-30.8864757, 153.0709147)"
ozie.herzog@gmail.com,Lachlan,Howell,91 Samantha Parkway,ADAMS ESTATE,VIC,3984,9367 Smyth Way,ALBANY,WA,6330,"ADAMS ESTATE, VIC, 3984","ALBANY, WA, 6330","(-35.0247822, 117.883608)"
deane_donnelly@gmail.com,Alexander,Walker,25 Grace Crescent,APPILA,SA,5480,8683 Leffler Boulevard,ANDERGROVE,QLD,4740,"APPILA, SA, 5480","ANDERGROVE, QLD, 4740","(-21.0898372, 149.1903543)"
ona@hotmail.com,Summer,Hand,24 Matilda Station St,ARCOONA,SA,5720,81 Bayer Loop,ABINGTON,QLD,4660,"ARCOONA, SA, 5720","ABINGTON, QLD, 4660","(-25.2021516, 152.3270752)"
oren.west@yahoo.com,Archie,Douglas,15 Alyssa Street,ALBION PARK RAIL,NSW,2527,2907 Isabelle Terrace,ABERFOYLE PARK,SA,5159,"ALBION PARK RAIL, NSW, 2527","ABERFOYLE PARK, SA, 5159","(-35.0705635, 138.6011311)"
todd@yahoo.com,Riley,West,2122 Goodwin Avenue,ARCADIA SOUTH,VIC,3631,2782 Carroll Street,ABERCORN,QLD,4627,"ARCADIA SOUTH, VIC, 3631","ABERCORN, QLD, 4627","(-25.137580999999997, 151.15858654078357)"
loreta.bernier@hotmail.com,Audrey,Rohan,264 Maya Station St,APPLECROSS,WA,6153,770 Mason Plaza,AITKENVALE,QLD,4814,"APPLECROSS, WA, 6153","AITKENVALE, QLD, 4814","(-19.3019469, 146.7660472)"
major_hermann@hotmail.com,Natalie,Hammes,33 Durgan Circle,AREEGRA,VIC,3480,1531 Victoria Parade,ARMIDALE,NSW,2350,"AREEGRA, VIC, 3480","ARMIDALE, NSW, 2350","(-30.5144881, 151.6656564)"
hunter@gmail.com,Edward,Parisian,62 Lachlan Run,ARKAROOLA VILLAGE,SA,5732,201 Khan Street,ANTIGUA,QLD,4650,"ARKAROOLA VILLAGE, SA, 5732","ANTIGUA, QLD, 4650","(-25.636086499999998, 152.5914461311075)"
lanny.fay@gmail.com,Marcus,Kutch,2245 Jett Square,ARDROSSAN,SA,5571,7267 Chelsea Loop,ARCADIA,QLD,4819,"ARDROSSAN, SA, 5571","ARCADIA, QLD, 4819","(-19.1432945, 146.85957385277385)"
ruthie@yahoo.com,Eli,Wood,157 Amy Crest,ASHBOURNE,VIC,3442,8970 Eve Terrace,AURUKUN,QLD,4892,"ASHBOURNE, VIC, 3442","AURUKUN, QLD, 4892","(-13.6020675, 141.77068488792847)"
jim@yahoo.com,Phoenix,Douglas,6855 Erdman Mews,ARIAH PARK,NSW,2665,237 Williams Way,ADJUNGBILLY,NSW,2727,"ARIAH PARK, NSW, 2665","ADJUNGBILLY, NSW, 2727","(-35.0859511, 148.3985662)"
rima@gmail.com,Georgia,Adams,23 Bogan Parade,AGNES BANKS,NSW,2753,2053 Fay Run,ARCHIES CREEK,VIC,3995,"AGNES BANKS, NSW, 2753","ARCHIES CREEK, VIC, 3995","(-13.3673745, 142.58087573798585)"
lamont@hotmail.com,Sarah,Boyle,3934 Levi Meadow,ALBION,QLD,4010,33 Oliver Estate Dr,ARTHURS CREEK,VIC,3099,"ALBION, QLD, 4010","ARTHURS CREEK, VIC, 3099","(-34.8566301, 138.5610335)"
tod@yahoo.com,Abbey,Wilderman,77 Lowe Lane,ANTONYMYRE,WA,6714,183 Hugo Pass,ALAWOONA,SA,5311,"ANTONYMYRE, WA, 6714","ALAWOONA, SA, 5311","(-35.2852323, 149.1129681)"
shantell@hotmail.com,Gemma,Cox,31 Sam Track,AUSTINS FERRY,TAS,7011,18 Skye Parade,ANTONYMYRE,WA,6714,"AUSTINS FERRY, TAS, 7011","ANTONYMYRE, WA, 6714","(-38.2828148, 141.631467)"
margorie.larkin@gmail.com,Eli,Mayer,522 Scarlett Ridge,AVONDALE,NSW,2530,77 Zac Crescent,ANGURUGU,NT,822,"AVONDALE, NSW, 2530","ANGURUGU, NT, 822","(-12.3799071, 130.8746623)"
alton@gmail.com,Jessica,James,2317 Emma Plaza,NORTH LINCOLNSTAD,QLD,6756,94 Henry Court,DANIELHAVEN,WA,1267,"NORTH LINCOLNSTAD, QLD, 6756","DANIELHAVEN, WA, 1267","(-33.3441135, 117.01571419732676)"
karin@gmail.com,Alice,Nolan,819 Oliver Circuit,ARMSTRONG CREEK,QLD,4520,418 Berge Crescent,AKAROA,TAS,7216,"ARMSTRONG CREEK, QLD, 4520","AKAROA, TAS, 7216","(-34.3488941, 147.2175709)"
victor.bailey@gmail.com,Archie,Macdonald,83 Nader Drive,EMMASIDE,WA,9254,2626 Reid Island,MADISONFURT,SA,8674,"EMMASIDE, WA, 9254","MADISONFURT, SA, 8674","(-27.911755, 152.91602902703985)"
nicolas@gmail.com,Lachlan,Beahan,40 Harber Ridge,ARCADIA SOUTH,VIC,3631,17 Justin Road,ARGENTON,NSW,2284,"ARCADIA SOUTH, VIC, 3631","ARGENTON, NSW, 2284","(-33.881224, 151.1709976)"
anthony_collier@hotmail.com,Heidi,Hackett,105 Alex Junction,ANAMBAH,NSW,2320,43 Nicholas Street,ARAMARA,QLD,4620,"ANAMBAH, NSW, 2320","ARAMARA, QLD, 4620","(-32.6733333, 151.4927778)"
martin.wisoky@gmail.com,Kayla,White,2834 Piper Court,ARTHURTON,SA,5572,67 Turcotte Pass,ALICE SPRINGS,NT,870,"ARTHURTON, SA, 5572","ALICE SPRINGS, NT, 870","(-24.837838, 152.0296298)"
julene_stiedemann@gmail.com,Stella,Garden,61 Turcotte Boulevard,ASHFIELD,QLD,4670,98 Green Track,ARDMONA,VIC,3629,"ASHFIELD, QLD, 4670","ARDMONA, VIC, 3629","(-27.2187059, 152.8084209)"
robert@hotmail.com,Nathan,Davies,778 Nicolas Summit,ASHBOURNE,VIC,3442,72 Kovacek Ridge,ASHWOOD,VIC,3147,"ASHBOURNE, VIC, 3442","ASHWOOD, VIC, 3147","(-33.9282672, 150.8082824)"
morgan.fritsch@gmail.com,Benjamin,Doyle,38 Swift Run,ALYANGULA,NT,885,7321 Garden Knoll,ALCOMIE,TAS,7330,"ALYANGULA, NT, 885","ALCOMIE, TAS, 7330","(-37.8452062, 144.957105)"
sudie.kertzmann@hotmail.com,Tyler,Hand,17 Ashley Mall,ARALUEN,QLD,4570,51 Madison Mall,APPILA,SA,5480,"ARALUEN, QLD, 4570","APPILA, SA, 5480","(-31.9127941, 115.9360896)"
carolyne_huels@hotmail.com,Joel,Taylor,8515 Abigail Circuit,AUGATHELLA,QLD,4477,635 Eliza Place,ARGYLL,QLD,4721,"AUGATHELLA, QLD, 4477","ARGYLL, QLD, 4721","(-38.684747, 146.3962845181981)"
shad@gmail.com,Audrey,Sanford,393 Layla Way,ADELONG,NSW,2729,9059 Matthew Road,ARGOON,NSW,2707,"ADELONG, NSW, 2729","ARGOON, NSW, 2707","(-38.3862028, 142.6001551)"
booker.roberts@gmail.com,Claudia,Borer,330 Angelina Avenue,ARGYLL,QLD,4721,126 D'amore Road,ADAMS ESTATE,VIC,3984,"ARGYLL, QLD, 4721","ADAMS ESTATE, VIC, 3984","(-38.3533865, 146.10151536509113)"
emelda.hoeger@yahoo.com,Willow,O'hara,21 Paterson Street,ALISON,NSW,2259,1866 Patel Mall,APPIN,NSW,2560,"ALISON, NSW, 2259","APPIN, NSW, 2560","(-34.2582911, 137.7556003)"
olin_okon@gmail.com,Elijah,Sanford,42 Hunter Pass,ALTON DOWNS,QLD,4702,91 Johnston Parade,ASHFIELD,WA,6054,"ALTON DOWNS, QLD, 4702","ASHFIELD, WA, 6054","(-19.410888, 147.45965727981653)"
herbert@gmail.com,Christian,Schroeder,5439 Grimes Estate Dr,AMAMOOR,QLD,4570,81 Luca Loop,ALLEENA,NSW,2671,"AMAMOOR, QLD, 4570","ALLEENA, NSW, 2671","(-35.0859511, 148.3985662)"
ona_kuphal@yahoo.com,Abbey,O'keefe,23 Piper Estate Dr,ARALUEN,NT,870,23 Murphy Meadow,ALFORD,SA,5555,"ARALUEN, NT, 870","ALFORD, SA, 5555","(-28.8412757, 153.4405813)"
ramiro.predovic@hotmail.com,Mackenzie,Wolf,2228 Isaac Crest,ARDROSSAN,SA,5571,829 Sophie Crescent,ARCHER RIVER,QLD,4892,"ARDROSSAN, SA, 5571","ARCHER RIVER, QLD, 4892","(-36.737995, 149.2607397)"
sheree.mertz@gmail.com,Summer,Spencer,6875 Kelly Knoll,ASHMONT,NSW,2650,147 Hill Crescent,ANGLE PARK,SA,5010,"ASHMONT, NSW, 2650","ANGLE PARK, SA, 5010","(-27.2187059, 152.8084209)"
darnell@yahoo.com,Logan,Connelly,93 Flatley Boulevard,ADAMSTOWN HEIGHTS,NSW,2289,458 Isabel Crest,ACTON,ACT,2601,"ADAMSTOWN HEIGHTS, NSW, 2289","ACTON, ACT, 2601",Nan
adan.crist@hotmail.com,Lachlan,Smyth,2950 Hamish Crescent,ALMA,VIC,3465,27 Phoebe View Rd,ALLESTREE,VIC,3305,"ALMA, VIC, 3465","ALLESTREE, VIC, 3305","(-36.863510000000005, 144.38470220073737)"
enedina@yahoo.com,Oscar,Watson,5976 Rohan Manor,ARRAWARRA HEADLAND,NSW,2456,3163 Dare Circle,ALAWA,NT,810,"ARRAWARRA HEADLAND, NSW, 2456","ALAWA, NT, 810",Nan
soila@gmail.com,Summer,Parker,10 Champlin Pass,ARDLETHAN,NSW,2665,32 Spencer Square,ARTHUR RIVER,WA,6315,"ARDLETHAN, NSW, 2665","ARTHUR RIVER, WA, 6315","(-28.1331291, 153.3158014)"
horacio.lemke@gmail.com,Liam,Bogan,6377 Rohan Circuit,ANDAMOOKA STATION,SA,5719,4080 Mitchell Avenue,ARIAH PARK,NSW,2665,"ANDAMOOKA STATION, SA, 5719","ARIAH PARK, NSW, 2665","(-33.6884076, 151.1078178)"
afton@hotmail.com,Abigail,Bayer,21 Holly Parkway,APPLETHORPE,QLD,4378,6815 Bella Run,ALLENVIEW,QLD,4285,"APPLETHORPE, QLD, 4378","ALLENVIEW, QLD, 4285","(-20.5559791, 148.4441771)"
shellie@gmail.com,Sienna,Connelly,445 Mia Loop,ARDATH,WA,6419,2469 Scott Drive,ANNANDALE,NSW,2038,"ARDATH, WA, 6419","ANNANDALE, NSW, 2038","(-33.265, 151.3983333)"
terresa.torp@hotmail.com,Archie,Dooley,25 King Estate Dr,AUSTRALIND,WA,6233,539 Gutmann Parkway,AVENELL HEIGHTS,QLD,4670,"AUSTRALIND, WA, 6233","AVENELL HEIGHTS, QLD, 4670","(-34.5953566, 138.9128691)"
floyd@yahoo.com,Amy,Leffler,1325 Hermiston Junction,ARALUEN,NT,870,6266 Mitchell Place,ALSTONVILLE,NSW,2477,"ARALUEN, NT, 870","ALSTONVILLE, NSW, 2477","(-12.7588199, 131.1496296)"
samual@yahoo.com,Daniel,Bode,50 Kris Terrace,ASPENDALE GARDENS,VIC,3195,21 Beau Circle,ARGYLE,WA,6239,"ASPENDALE GARDENS, VIC, 3195","ARGYLE, WA, 6239","(-35.1611333, 147.5124215)"
derek@yahoo.com,Anthony,Brown,5261 Adam View Rd,ABBEY,WA,6280,6795 Miller Meadow,ALDOGA,QLD,4694,"ABBEY, WA, 6280","ALDOGA, QLD, 4694",Nan
esteban.block@hotmail.com,Charlotte,Bogan,396 Cole Street,PORT LUCY,TAS,9675,83 Wilkinson Circle,ETHANTON,NT,8543,"PORT LUCY, TAS, 9675","ETHANTON, NT, 8543",Nan
bradly.shields@yahoo.com,Imogen,Graham,912 Barton View Rd,ALEXANDRA,VIC,3714,46 Alex Knoll,AWABA,NSW,2283,"ALEXANDRA, VIC, 3714","AWABA, NSW, 2283","(-25.9084136, 144.5976948)"
noella_willms@hotmail.com,Nicholas,Connelly,6748 Ernser View Rd,ADAMSTOWN HEIGHTS,NSW,2289,3128 Abigail Crescent,ANAMBAH,NSW,2320,"ADAMSTOWN HEIGHTS, NSW, 2289","ANAMBAH, NSW, 2320","(-32.6983338, 151.5344427)"
kathrine@gmail.com,Isabelle,O'connell,8331 Evie Crescent,AUSTRALIA PLAINS,SA,5374,531 Bailey Junction,ABBOTSFORD,QLD,4670,"AUSTRALIA PLAINS, SA, 5374","ABBOTSFORD, QLD, 4670","(-31.0316667, 152.9344444)"
valentine@yahoo.com,Paige,Mclaughlin,639 George Manor,AMBERLEY,QLD,4306,1259 Hand Meadow,ARMSTRONG CREEK,QLD,4520,"AMBERLEY, QLD, 4306","ARMSTRONG CREEK, QLD, 4520","(-20.6267825, 117.07780048166553)"
chas@gmail.com,Charlie,Muller,5719 Lowe Ridge,ALBION PARK RAIL,NSW,2527,917 Evie Estate Dr,AUSTRAL,NSW,2179,"ALBION PARK RAIL, NSW, 2527","AUSTRAL, NSW, 2179","(-33.8894781, 151.1274125)"
suzanne@gmail.com,Harry,Nader,648 Hamish Mall,AIRDS,NSW,2560,12 Phoebe Loop,ALBERT PARK,VIC,3206,"AIRDS, NSW, 2560","ALBERT PARK, VIC, 3206","(-27.824796, 151.9984418371806)"
gala@hotmail.com,Angus,Bergstrom,7612 Isabel Hill,ALBION,VIC,3020,8793 Campbell Manor,ASHFIELD,WA,6054,"ALBION, VIC, 3020","ASHFIELD, WA, 6054","(-31.0816667, 152.7677778)"
bailey.altenwerth@hotmail.com,Owen,Turcotte,362 Mason Track,ARCHIES CREEK,VIC,3995,3505 Morrison Hill,AGNES,VIC,3962,"ARCHIES CREEK, VIC, 3995","AGNES, VIC, 3962",Nan
mamie.grady@gmail.com,Mitchell,Jacobs,24 Gutmann Loop,ALLEENA,NSW,2671,4888 Mayer Road,ALLANSFORD,VIC,3277,"ALLEENA, NSW, 2671","ALLANSFORD, VIC, 3277","(-35.0152371, 138.7351789)"
rolland@gmail.com,Molly,Baumbach,120 Lakin Boulevard,AMERICAN BEACH,SA,5222,93 Hansen Loop,ALLAMBEE SOUTH,VIC,3871,"AMERICAN BEACH, SA, 5222","ALLAMBEE SOUTH, VIC, 3871","(-19.3019469, 146.7660472)"
sulema@gmail.com,Lincoln,Hamilton,2180 Windler Terrace,ALLIGATOR CREEK,QLD,4740,72 Howe Crest,ARTHURTON,SA,5572,"ALLIGATOR CREEK, QLD, 4740","ARTHURTON, SA, 5572","(-37.8671223, 144.8294793)"
branden.abshire@hotmail.com,Claudia,Moore,82 Hughes Crescent,ALLEENA,NSW,2671,20 Macdonald Plaza,ALVA,QLD,4807,"ALLEENA, NSW, 2671","ALVA, QLD, 4807","(-33.7533091, 115.3814621)"
jewel_altenwerth@gmail.com,Samuel,Kemmer,77 Natalie Circle,ANNANGROVE,NSW,2156,74 Dare Terrace,ADJUNGBILLY,NSW,2727,"ANNANGROVE, NSW, 2156","ADJUNGBILLY, NSW, 2727","(-34.5708425, 150.7752326)"
maisie_kuvalis@hotmail.com,Lincoln,Cruickshank,3970 Hermiston View Rd,ANDERLEIGH,QLD,4570,75 Anthony Road,ALSTONVILLE,NSW,2477,"ANDERLEIGH, QLD, 4570","ALSTONVILLE, NSW, 2477","(-32.0271228, 115.8355245)"
sharika_jacobi@yahoo.com,Blake,Hughes,60 Ryan Parade,ASHENDON,WA,6111,76 Madison Circuit,ANDO,NSW,2631,"ASHENDON, WA, 6111","ANDO, NSW, 2631","(-35.315, 148.4344444)"
jed@hotmail.com,Cooper,Richards,63 Emma Mews,ALBION,QLD,4010,4599 Fay Track,ARMSTRONG CREEK,QLD,4520,"ALBION, QLD, 4010","ARMSTRONG CREEK, QLD, 4520","(-42.0083152, 146.9556532)"
annett.prosacco@yahoo.com,Lauren,Jacobs,736 Kunde Boulevard,SOUTH ANDREWCHESTER,VIC,7302,5376 Eva Drive,NGUYENTOWN,QLD,6332,"SOUTH ANDREWCHESTER, VIC, 7302","NGUYENTOWN, QLD, 6332","(-12.5150609, 130.9649876)"
laci@gmail.com,Kayla,Larkin,432 Finn Meadow,ANSTEAD,QLD,4070,7069 Gibson Circuit,AXE CREEK,VIC,3551,"ANSTEAD, QLD, 4070","AXE CREEK, VIC, 3551",Nan
donovan@hotmail.com,Jackson,Hermiston,780 Robinson Square,HAMISHVIEW,SA,3349,121 Rutherford Manor,PORT MADELINEFURT,TAS,1000,"HAMISHVIEW, SA, 3349","PORT MADELINEFURT, TAS, 1000","(-36.476927, 144.09218449571566)"
theda_kihn@yahoo.com,Charlie,Ebert,7979 Lucy Junction,ALVA,QLD,4807,87 Kreiger Circuit,AUSTINVILLE,QLD,4213,"ALVA, QLD, 4807","AUSTINVILLE, QLD, 4213","(-32.2197553, 115.8667368)"
shannon_lindgren@yahoo.com,Jessica,Quinn,22 Price Meadow,ALLANSON,WA,6225,877 Claudia Island,ASQUITH,NSW,2077,"ALLANSON, WA, 6225","ASQUITH, NSW, 2077","(-33.8505529, 151.129759)"
celestine@gmail.com,Emily,Walter,926 Wood Crescent,ARATULA,NSW,2714,7413 Reynolds Lane,ANDROMACHE,QLD,4800,"ARATULA, NSW, 2714","ANDROMACHE, QLD, 4800","(-24.8896919, 152.3649484)"
davina.franecki@hotmail.com,Victoria,Kunde,786 Schroeder Parade,ARNDELL PARK,NSW,2148,4896 Howe Parkway,ALISON,NSW,2259,"ARNDELL PARK, NSW, 2148","ALISON, NSW, 2259","(-27.3175555, 151.6831346312784)"
casimira@gmail.com,Ava,Davies,2544 Schmitt Circle,ABBEY,WA,6280,1133 Alexandra Summit,ALTONA,SA,5351,"ABBEY, WA, 6280","ALTONA, SA, 5351","(-25.636086499999998, 152.5914461311075)"
ellis@hotmail.com,Phoebe,Tremblay,466 Isabel Ridge,AROONA,QLD,4551,6317 Sofia Loop,ACACIA HILLS,NT,822,"AROONA, QLD, 4551","ACACIA HILLS, NT, 822","(-26.532866499999997, 148.1731617453616)"
alishia.wiegand@gmail.com,Hayden,Walker,8851 Wood Track,ARALUEN,QLD,4570,3147 Hyatt Island,ALFREDTOWN,NSW,2650,"ARALUEN, QLD, 4570","ALFREDTOWN, NSW, 2650","(-33.9727133, 151.1145545)"
suzanna.adams@gmail.com,Oliver,Stokes,2216 Smith Circuit,GREENHOLTMOUTH,SA,5525,2582 Ferry Pass,MATTHEWFORT,ACT,5697,"GREENHOLTMOUTH, SA, 5525","MATTHEWFORT, ACT, 5697","(-34.27690615, 138.33903101339558)"
lashaun@yahoo.com,Alexandra,Hettinger,21 O'hara Grove,PORT MIA,SA,7827,528 Hackett Circle,BODELAND,TAS,5368,"PORT MIA, SA, 7827","BODELAND, TAS, 5368","(-33.3441135, 117.01571419732676)"
dominique@hotmail.com,Gemma,Wright,64 Morrison Place,ARDROSSAN,SA,5571,7602 Hudson Parade,ADAVALE,QLD,4474,"ARDROSSAN, SA, 5571","ADAVALE, QLD, 4474","(-33.6929151, 141.7057254)"
phylicia@hotmail.com,Xavier,Mckenzie,35 Violet Island,ANGAS PLAINS,SA,5255,41 Charlotte Mews,ABERGLASSLYN,NSW,2320,"ANGAS PLAINS, SA, 5255","ABERGLASSLYN, NSW, 2320",Nan
abram_christiansen@gmail.com,Amelie,Parker,2554 Mckenzie Estate Dr,ALBION,QLD,4822,8073 Ava Manor,AUSTRAL EDEN,NSW,2440,"ALBION, QLD, 4822","AUSTRAL EDEN, NSW, 2440","(-34.2659394, 138.630459)"
belen@hotmail.com,Ali,Tremblay,80 Hunter Parade,ARGOON,QLD,4702,96 Lucy Station St,ANTONYMYRE,WA,6714,"ARGOON, QLD, 4702","ANTONYMYRE, WA, 6714","(-34.8566301, 138.5610335)"
jimmy@yahoo.com,Caleb,Crooks,98 Hane Circuit,AROONA,QLD,4551,38 Addison Run,ASHFIELD,NSW,2131,"AROONA, QLD, 4551","ASHFIELD, NSW, 2131","(-43.01196, 147.20886)"
arletta_mosciski@gmail.com,Kiara,King,77 Archie Loop,AIRDS,NSW,2560,10 Campbell Crescent,ASCOT,QLD,4360,"AIRDS, NSW, 2560","ASCOT, QLD, 4360","(-27.3991661, 153.4497223)"
tiera@gmail.com,Joel,Kohler,2032 Olivia Junction,AMERICAN RIVER,SA,5221,7446 Muller Square,ALDAVILLA,NSW,2440,"AMERICAN RIVER, SA, 5221","ALDAVILLA, NSW, 2440","(-38.394622, 145.88277296771855)"
darron@yahoo.com,Luca,Mckenzie,1926 Smitham Way,SOUTH ELLABURGH,NT,6250,23 Kovacek Way,STEPHANIESHIRE,NSW,1564,"SOUTH ELLABURGH, NT, 6250","STEPHANIESHIRE, NSW, 1564","(-34.27690615, 138.33903101339558)"
jon.ullrich@hotmail.com,Scarlett,Collier,110 Watson Junction,ARGYLE,VIC,3523,320 Sarah Avenue,ALDGATE,SA,5154,"ARGYLE, VIC, 3523","ALDGATE, SA, 5154","(-37.411647, 144.46035695739747)"
glennis@yahoo.com,Audrey,Bogan,77 Baumbach Crest,AVALON,VIC,3212,908 Mccullough Drive,AITKENVALE,QLD,4814,"AVALON, VIC, 3212","AITKENVALE, QLD, 4814","(-38.0044384, 140.7097527)"
bennie@hotmail.com,Lillian,Parisian,8179 Bosco Terrace,AVALON,VIC,3212,946 Sam Avenue,ALTONA,VIC,3018,"AVALON, VIC, 3212","ALTONA, VIC, 3018","(-34.5708425, 150.7752326)"
lizzie_deckow@gmail.com,Mikayla,Patel,252 Mason Hill,ARGYLE,VIC,3523,8792 Marcus Street,ACTON PARK,WA,6280,"ARGYLE, VIC, 3523","ACTON PARK, WA, 6280","(-28.020298, 151.9865208526317)"
lauran@hotmail.com,Claudia,Parisian,34 Ward Crest,ASHCROFT,NSW,2168,59 D'amore Terrace,ALBION PARK,NSW,2527,"ASHCROFT, NSW, 2168","ALBION PARK, NSW, 2527","(-37.2705795, 145.70824410305514)"
