Email,First Name,Last Name,Residential Address Street,Residential Address Locality,Residential Address State,Residential Address Postcode,Postal Address Street,Postal Address Locality,Postal Address State,Postal Address Postcode,Postal_co-ordinates,Residential_co-ordinates
salvatore_schuppe@gmail.com,Aidan,Kuhlman,201 Durgan Mall,ANNADALE,SA,5356,26 Cassin Knoll,ALEXANDRA HEADLAND,QLD,4572,"(-26.669601999999998, 153.10175199135801)","(-34.3891665, 139.3881387)"
karl@yahoo.com,Alexandra,Clarke,6591 Natalie Meadow,ARROWSMITH,WA,6525,8719 Adams Place,ANSONS BAY,TAS,7264,"(-41.0372935, 148.2691093)","(-29.554151, 115.11588485488761)"
karyn.kub@gmail.com,Samantha,Champlin,79 Eve Pass,ADARE,QLD,4343,67 Erdman Island,AUGATHELLA,QLD,4477,"(-25.7968515, 146.5891538)","(-27.5123015, 152.28868017258898)"
mackenzie_auer@gmail.com,Cameron,Haley,351 Heidi Court,ALPHINGTON,VIC,3078,460 Mccullough Manor,AIRVILLE,QLD,4807,"(-19.6372465, 147.35056619813304)","(-37.7783921, 145.0312833)"
lea.cummings@hotmail.com,Daniel,Braun,80 Ernser Avenue,ANNADALE,SA,5356,89 Eva Boulevard,AIRLY,VIC,3851,"(-38.025259, 147.10062811660103)","(-34.3891665, 139.3881387)"
julian@yahoo.com,Luke,Dare,544 Sanford Pass,AYLMERTON,NSW,2575,715 Tremblay Street,ARTHUR RIVER,TAS,7330,"(-41.0494219, 144.667346)","(-34.4185998, 150.4953005)"
sandee@yahoo.com,Blake,Feeney,2442 Grimes Island,ASHMONT,NSW,2650,174 Isabelle Track,AVISFORD,NSW,2850,"(-32.739771, 149.4823469)","(-35.1244827, 147.3325101)"
twila_morar@yahoo.com,Bella,Lockman,8813 Emily Meadow,ARMSTRONG CREEK,VIC,3217,74 Ali Circuit,ALLWORTH,NSW,2425,"(-32.5399586, 151.9589534)","(-38.2341184, 144.3709512)"
maryjo@yahoo.com,Lucy,Stokes,888 Mackenzie Ridge,AARONS PASS,NSW,2850,7423 Crooks Crest,ADAMSTOWN,NSW,2289,"(-32.9337786, 151.7200237)","(-32.8719444, 149.8094444)"
phillip@gmail.com,Archie,Barton,41 Taylor View Rd,ANGLEDOOL,NSW,2834,796 Madison Crest,ALMONDS,VIC,3727,"(-36.2341665, 146.05603068699222)","(-29.1100681, 147.9176423)"
sol@gmail.com,Jett,Monahan,8845 Braun Hill,ARMADALE,WA,6112,61 Emily Place,ANAMBAH,NSW,2320,"(-32.6733333, 151.4927778)","(-32.1533106, 116.0130563)"
aileen.berge@yahoo.com,Phoebe,Dare,823 O'neill Place,ALLENS RIVULET,TAS,7150,58 Walsh Trail,ARAKOON,NSW,2431,"(-30.8864757, 153.0709147)","(-43.01196, 147.20886)"
ozie.herzog@gmail.com,Lachlan,Howell,91 Samantha Parkway,ADAMS ESTATE,VIC,3984,9367 Smyth Way,ALBANY,WA,6330,"(-35.0247822, 117.883608)","(-38.4247705, 145.53145261079874)"
deane_donnelly@gmail.com,Alexander,Walker,25 Grace Crescent,APPILA,SA,5480,8683 Leffler Boulevard,ANDERGROVE,QLD,4740,"(-21.0898372, 149.1903543)","(-33.0497098, 138.4289329)"
ona@hotmail.com,Summer,Hand,24 Matilda Station St,ARCOONA,SA,5720,81 Bayer Loop,ABINGTON,QLD,4660,"(-25.2021516, 152.3270752)","(-31.1302928, 137.1034847277803)"
oren.west@yahoo.com,Archie,Douglas,15 Alyssa Street,ALBION PARK RAIL,NSW,2527,2907 Isabelle Terrace,ABERFOYLE PARK,SA,5159,"(-35.0705635, 138.6011311)","(-34.5625775, 150.7978168)"
todd@yahoo.com,Riley,West,2122 Goodwin Avenue,ARCADIA SOUTH,VIC,3631,2782 Carroll Street,ABERCORN,QLD,4627,"(-25.137580999999997, 151.15858654078357)","(-36.5931025, 145.38127437318553)"
loreta.bernier@hotmail.com,Audrey,Rohan,264 Maya Station St,APPLECROSS,WA,6153,770 Mason Plaza,AITKENVALE,QLD,4814,"(-19.3019469, 146.7660472)","(-32.0137091, 115.8366566)"
major_hermann@hotmail.com,Natalie,Hammes,33 Durgan Circle,AREEGRA,VIC,3480,1531 Victoria Parade,ARMIDALE,NSW,2350,"(-30.5144881, 151.6656564)","(-36.2320385, 142.6799121472199)"
hunter@gmail.com,Edward,Parisian,62 Lachlan Run,ARKAROOLA VILLAGE,SA,5732,201 Khan Street,ANTIGUA,QLD,4650,"(-25.636086499999998, 152.5914461311075)","(-30.3118393, 139.3353485)"
lanny.fay@gmail.com,Marcus,Kutch,2245 Jett Square,ARDROSSAN,SA,5571,7267 Chelsea Loop,ARCADIA,QLD,4819,"(-19.1432945, 146.85957385277385)","(-34.424675, 137.915867)"
ruthie@yahoo.com,Eli,Wood,157 Amy Crest,ASHBOURNE,VIC,3442,8970 Eve Terrace,AURUKUN,QLD,4892,"(-13.6020675, 141.77068488792847)","(-37.411647, 144.46035695739747)"
jim@yahoo.com,Phoenix,Douglas,6855 Erdman Mews,ARIAH PARK,NSW,2665,237 Williams Way,ADJUNGBILLY,NSW,2727,"(-35.0859511, 148.3985662)","(-34.3488941, 147.2175709)"
rima@gmail.com,Georgia,Adams,23 Bogan Parade,AGNES BANKS,NSW,2753,2053 Fay Run,ARCHIES CREEK,VIC,3995,"(-13.3673745, 142.58087573798585)","(-34.424675, 137.915867)"
lamont@hotmail.com,Sarah,Boyle,3934 Levi Meadow,ALBION,QLD,4010,33 Oliver Estate Dr,ARTHURS CREEK,VIC,3099,"(-34.8566301, 138.5610335)","(-35.1244827, 147.3325101)"
tod@yahoo.com,Abbey,Wilderman,77 Lowe Lane,ANTONYMYRE,WA,6714,183 Hugo Pass,ALAWOONA,SA,5311,"(-35.2852323, 149.1129681)","(-32.9488889, 151.7108333)"
shantell@hotmail.com,Gemma,Cox,31 Sam Track,AUSTINS FERRY,TAS,7011,18 Skye Parade,ANTONYMYRE,WA,6714,"(-38.2828148, 141.631467)","(-37.0245202, 143.6821566)"
margorie.larkin@gmail.com,Eli,Mayer,522 Scarlett Ridge,AVONDALE,NSW,2530,77 Zac Crescent,ANGURUGU,NT,822,"(-12.3799071, 130.8746623)","(-30.060426, 153.2016851)"
alton@gmail.com,Jessica,James,2317 Emma Plaza,NORTH LINCOLNSTAD,QLD,6756,94 Henry Court,DANIELHAVEN,WA,1267,"(-33.3441135, 117.01571419732676)","(-34.3483333, 146.9011111)"
karin@gmail.com,Alice,Nolan,819 Oliver Circuit,ARMSTRONG CREEK,QLD,4520,418 Berge Crescent,AKAROA,TAS,7216,"(-34.3488941, 147.2175709)","(-30.566585, 137.15001419253298)"
victor.bailey@gmail.com,Archie,Macdonald,83 Nader Drive,EMMASIDE,WA,9254,2626 Reid Island,MADISONFURT,SA,8674,"(-27.911755, 152.91602902703985)","(-28.615750499999997, 151.93600915657788)"
nicolas@gmail.com,Lachlan,Beahan,40 Harber Ridge,ARCADIA SOUTH,VIC,3631,17 Justin Road,ARGENTON,NSW,2284,"(-33.881224, 151.1709976)","(-32.0292141, 118.0943551)"
anthony_collier@hotmail.com,Heidi,Hackett,105 Alex Junction,ANAMBAH,NSW,2320,43 Nicholas Street,ARAMARA,QLD,4620,"(-32.6733333, 151.4927778)","(-32.9488889, 151.7108333)"
martin.wisoky@gmail.com,Kayla,White,2834 Piper Court,ARTHURTON,SA,5572,67 Turcotte Pass,ALICE SPRINGS,NT,870,"(-24.837838, 152.0296298)","(-34.097735, 139.1556029)"
julene_stiedemann@gmail.com,Stella,Garden,61 Turcotte Boulevard,ASHFIELD,QLD,4670,98 Green Track,ARDMONA,VIC,3629,"(-27.2187059, 152.8084209)","(-27.6304065, 152.6980108651208)"
robert@hotmail.com,Nathan,Davies,778 Nicolas Summit,ASHBOURNE,VIC,3442,72 Kovacek Ridge,ASHWOOD,VIC,3147,"(-33.9282672, 150.8082824)","(-34.5625775, 150.7978168)"
morgan.fritsch@gmail.com,Benjamin,Doyle,38 Swift Run,ALYANGULA,NT,885,7321 Garden Knoll,ALCOMIE,TAS,7330,"(-37.8452062, 144.957105)","(-34.09, 150.8261111)"
sudie.kertzmann@hotmail.com,Tyler,Hand,17 Ashley Mall,ARALUEN,QLD,4570,51 Madison Mall,APPILA,SA,5480,"(-31.9127941, 115.9360896)","(-37.77722335, 144.82438949533855)"
carolyne_huels@hotmail.com,Joel,Taylor,8515 Abigail Circuit,AUGATHELLA,QLD,4477,635 Eliza Place,ARGYLL,QLD,4721,"(-38.684747, 146.3962845181981)","(-38.548863, 145.56498054788307)"
sharika_jacobi@yahoo.com,Blake,Hughes,60 Ryan Parade,ASHENDON,WA,6111,76 Madison Circuit,ANDO,NSW,2631,"(-35.315, 148.4344444)","(-37.558214, 143.7998153)"
jed@hotmail.com,Cooper,Richards,63 Emma Mews,ALBION,QLD,4010,4599 Fay Track,ARMSTRONG CREEK,QLD,4520,"(-42.0083152, 146.9556532)","(-35.6483333, 149.8177778)"
annett.prosacco@yahoo.com,Lauren,Jacobs,736 Kunde Boulevard,SOUTH ANDREWCHESTER,VIC,7302,5376 Eva Drive,NGUYENTOWN,QLD,6332,"(-12.5150609, 130.9649876)","(-30.060426, 153.2016851)"
donovan@hotmail.com,Jackson,Hermiston,780 Robinson Square,HAMISHVIEW,SA,3349,121 Rutherford Manor,PORT MADELINEFURT,TAS,1000,"(-36.476927, 144.09218449571566)","(-27.3991661, 153.4497223)"
theda_kihn@yahoo.com,Charlie,Ebert,7979 Lucy Junction,ALVA,QLD,4807,87 Kreiger Circuit,AUSTINVILLE,QLD,4213,"(-32.2197553, 115.8667368)","(-33.7130236, 138.5557068)"
shannon_lindgren@yahoo.com,Jessica,Quinn,22 Price Meadow,ALLANSON,WA,6225,877 Claudia Island,ASQUITH,NSW,2077,"(-33.8505529, 151.129759)","(-16.8843632, 145.7451836)"
celestine@gmail.com,Emily,Walter,926 Wood Crescent,ARATULA,NSW,2714,7413 Reynolds Lane,ANDROMACHE,QLD,4800,"(-24.8896919, 152.3649484)","(-23.2972417, 150.3766711)"
davina.franecki@hotmail.com,Victoria,Kunde,786 Schroeder Parade,ARNDELL PARK,NSW,2148,4896 Howe Parkway,ALISON,NSW,2259,"(-27.3175555, 151.6831346312784)","(-34.855289, 142.80087295681284)"
casimira@gmail.com,Ava,Davies,2544 Schmitt Circle,ABBEY,WA,6280,1133 Alexandra Summit,ALTONA,SA,5351,"(-25.636086499999998, 152.5914461311075)","(-33.9094322, 138.92994407539157)"
ellis@hotmail.com,Phoebe,Tremblay,466 Isabel Ridge,AROONA,QLD,4551,6317 Sofia Loop,ACACIA HILLS,NT,822,"(-26.532866499999997, 148.1731617453616)","(-30.9283982, 150.8437118)"
alishia.wiegand@gmail.com,Hayden,Walker,8851 Wood Track,ARALUEN,QLD,4570,3147 Hyatt Island,ALFREDTOWN,NSW,2650,"(-33.9727133, 151.1145545)","(-37.8378229, 144.8342853)"
suzanna.adams@gmail.com,Oliver,Stokes,2216 Smith Circuit,GREENHOLTMOUTH,SA,5525,2582 Ferry Pass,MATTHEWFORT,ACT,5697,"(-34.27690615, 138.33903101339558)","(-33.8545702, 151.0255673)"
lashaun@yahoo.com,Alexandra,Hettinger,21 O'hara Grove,PORT MIA,SA,7827,528 Hackett Circle,BODELAND,TAS,5368,"(-33.3441135, 117.01571419732676)","(-12.3922305, 130.8915248)"
dominique@hotmail.com,Gemma,Wright,64 Morrison Place,ARDROSSAN,SA,5571,7602 Hudson Parade,ADAVALE,QLD,4474,"(-33.6929151, 141.7057254)","(-34.4252778, 150.6758333)"
abram_christiansen@gmail.com,Amelie,Parker,2554 Mckenzie Estate Dr,ALBION,QLD,4822,8073 Ava Manor,AUSTRAL EDEN,NSW,2440,"(-34.2659394, 138.630459)","(-18.438905, 145.92407218687336)"
belen@hotmail.com,Ali,Tremblay,80 Hunter Parade,ARGOON,QLD,4702,96 Lucy Station St,ANTONYMYRE,WA,6714,"(-34.8566301, 138.5610335)","(-35.1244827, 147.3325101)"
jimmy@yahoo.com,Caleb,Crooks,98 Hane Circuit,AROONA,QLD,4551,38 Addison Run,ASHFIELD,NSW,2131,"(-43.01196, 147.20886)","(-37.6670148, 144.884862)"
arletta_mosciski@gmail.com,Kiara,King,77 Archie Loop,AIRDS,NSW,2560,10 Campbell Crescent,ASCOT,QLD,4360,"(-27.3991661, 153.4497223)","(-27.4318955, 153.0630132)"
tiera@gmail.com,Joel,Kohler,2032 Olivia Junction,AMERICAN RIVER,SA,5221,7446 Muller Square,ALDAVILLA,NSW,2440,"(-38.394622, 145.88277296771855)","(-33.6602, 115.2596)"
darron@yahoo.com,Luca,Mckenzie,1926 Smitham Way,SOUTH ELLABURGH,NT,6250,23 Kovacek Way,STEPHANIESHIRE,NSW,1564,"(-34.27690615, 138.33903101339558)","(-41.9704605, 148.1511794)"
jon.ullrich@hotmail.com,Scarlett,Collier,110 Watson Junction,ARGYLE,VIC,3523,320 Sarah Avenue,ALDGATE,SA,5154,"(-37.411647, 144.46035695739747)","(-26.763254, 151.61703213780874)"
glennis@yahoo.com,Audrey,Bogan,77 Baumbach Crest,AVALON,VIC,3212,908 Mccullough Drive,AITKENVALE,QLD,4814,"(-38.0044384, 140.7097527)","(-27.824796, 151.9984418371806)"
bennie@hotmail.com,Lillian,Parisian,8179 Bosco Terrace,AVALON,VIC,3212,946 Sam Avenue,ALTONA,VIC,3018,"(-34.5708425, 150.7752326)","(-30.0511111, 153.1911111)"
lizzie_deckow@gmail.com,Mikayla,Patel,252 Mason Hill,ARGYLE,VIC,3523,8792 Marcus Street,ACTON PARK,WA,6280,"(-28.020298, 151.9865208526317)","(-41.780565, 147.723155)"
lauran@hotmail.com,Claudia,Parisian,34 Ward Crest,ASHCROFT,NSW,2168,59 D'amore Terrace,ALBION PARK,NSW,2527,"(-37.2705795, 145.70824410305514)","(-23.0896126, 150.7019728)"
regan.adams@yahoo.com,Oscar,Jackson,8772 Savannah Lane,AULDANA,SA,5072,435 Patel Pass,ARDROSS,WA,6153,"(-27.44306, 152.9827648731527)","(-33.7130236, 138.5557068)"
debroah.hayes@yahoo.com,Lily,Green,3010 Abbey Crest,ALFREDTON,VIC,3350,5451 Jacobs Circle,ARGALONG,NSW,2720,"(-35.0859511, 148.3985662)","(-37.3701648, 143.9229115)"
jerrell_kemmer@yahoo.com,Finn,Walker,167 Chelsea Ridge,TURNERCHESTER,TAS,5574,34 Anderson Track,EAST SAVANNAH,NSW,4663,"(-34.6749515, 138.6595143)","(-36.5931025, 145.38127437318553)"
corazon_turcotte@yahoo.com,Chelsea,Beier,9542 Bella Lane,ANAMA,SA,5464,153 Patrick Pass,ANKETELL,WA,6167,"(-12.3922305, 130.8915248)","(-34.5027712, 139.0490357)"
donte_vonrueden@hotmail.com,Benjamin,Mills,119 Rose Mall,AEROGLEN,QLD,4870,99 Thomas Drive,ABBOTSFORD,NSW,2046,"(-35.1244827, 147.3325101)","(-32.0328506, 115.8170316)"
simona@yahoo.com,Eli,Cole,24 Ivy Parkway,ALTON DOWNS,QLD,4702,297 Crooks Place,AVENELL HEIGHTS,QLD,4670,"(-37.0188265, 147.47220297551968)","(-30.965, 150.8511111)"
brooks@yahoo.com,Charli,Mueller,80 Andrew Hill,ANNUELLO,VIC,3549,6701 Kessler Run,ACLAND,QLD,4401,"(-25.9084136, 144.5976948)","(-34.27690615, 138.33903101339558)"
donte@yahoo.com,Kayla,Schmitt,1096 Smitham Street,APOINGA,SA,5413,553 Justin Parkway,ANTIGUA,QLD,4650,"(-38.0221438, 145.11984)","(-37.411647, 144.46035695739747)"
theodore@hotmail.com,Jade,Barton,53 Murphy Knoll,ATTUNGA,NSW,2345,3760 Caitlin Street,AMBY,QLD,4462,"(-37.2705795, 145.70824410305514)","(-37.940835, 144.28997769440335)"
max@gmail.com,Zara,Gleason,2839 Anna Parkway,ALTONA NORTH,VIC,3025,7742 Bailey Street,ALLAWAH,NSW,2218,"(-38.615880000000004, 146.66289476813358)","(-20.6267825, 117.07780048166553)"
cruz@gmail.com,Phoebe,Harber,5677 Price Plaza,ANULA,NT,812,45 Kunde Parkway,ARTHUR RIVER,WA,6315,"(-26.1075825, 151.64642182971647)","(-21.445357, 149.2686148891206)"
savannah@hotmail.com,Paige,Rodriguez,95 Martin Circuit,AVON,NSW,2574,264 William Road,ANABRANCH SOUTH,NSW,2648,"(-30.965, 150.8511111)","(-34.0685026, 147.1380858)"
gaylord.crist@gmail.com,Skye,Williamson,74 Jordan Grove,ABERGOWRIE,QLD,4850,13 Kayla Estate Dr,ALMA,SA,5401,"(-27.707543, 153.26622308788458)","(-37.8671223, 144.8294793)"
sid@gmail.com,Mia,Tromp,9403 Brown Track,ASHMONT,NSW,2650,611 Oscar Manor,ANGLE PARK,SA,5010,"(-24.764496, 152.14287334485806)","(-25.636086499999998, 152.5914461311075)"
heidi_gerhold@yahoo.com,Molly,Sanford,756 Huel Manor,ATTWOOD,VIC,3049,3371 Heaney Lane,ALLENS RIVULET,TAS,7150,"(-32.1549359, 115.85795)","(-37.9208356, 145.4688212)"
jacques_halvorson@yahoo.com,Hamish,Emmerich,93 Kirlin Avenue,ASCOT,QLD,4007,17 Jasmine Island,AMITY,QLD,4183,"(-34.3483333, 146.9011111)","(-36.932182499999996, 145.31296101521568)"
dick.herzog@yahoo.com,Leo,Gibson,420 Isabel Run,APSLAWN,TAS,7190,46 Isabella Place,AVON,SA,5501,"(-37.862047, 145.0812907)","(-12.7588199, 131.1496296)"
shandi@yahoo.com,Gemma,Little,176 Hermann Meadow,ALICE CREEK,QLD,4610,958 Charles Lane,ASHBOURNE,VIC,3442,"(-34.2237086, 118.2203895)","(-24.8726539, 152.3971072)"
reyna@yahoo.com,Chloe,Reynolds,4926 Murphy Road,ARRAWARRA,NSW,2456,873 Welch Junction,ALBION PARK,NSW,2527,"(-33.7533091, 115.3814621)","(-32.19139, 116.1792)"
rex_hermiston@yahoo.com,Summer,Barton,98 Greenfelder Summit,AVOCA,TAS,7213,87 Hannah Lane,ALLORA,QLD,4362,"(-41.780565, 147.723155)","(-41.28814, 147.79086)"
chiquita@gmail.com,Jasper,Phillips,55 Andrew Crescent,ADELAIDE PARK,QLD,4703,5816 Zac Street,ACHERON,VIC,3714,"(-35.3074897, 148.0631466)","(-34.4185998, 150.4953005)"
anna@gmail.com,James,Hansen,75 Matthew Track,ANAMA,SA,5464,3120 Skye Station St,ASHGROVE,QLD,4060,"(-29.478884, 153.3600421)","(-23.8423688, 118.5223218743849)"
arlen_strosin@gmail.com,William,Tromp,351 Phillips Loop,ALLENDALE,VIC,3364,8453 Michael Crescent,ADJUNGBILLY,NSW,2727,"(-37.411647, 144.46035695739747)","(-41.2050163, 146.3748003)"
lane.schmidt@hotmail.com,Angelina,Davies,48 Ashley Junction,AMPILATWATJA,NT,872,703 Lewis Crest,ANABRANCH NORTH,NSW,2648,"(-37.0188265, 147.47220297551968)","(-33.9282672, 150.8082824)"
lyle@yahoo.com,Finn,Thomson,164 D'amore View Rd,PORT MAYALAND,NT,7321,5278 Connor Summit,EAST JACKSONLAND,QLD,9665,"(-32.9337786, 151.7200237)","(-26.669601999999998, 153.10175199135801)"
raymond_kutch@gmail.com,Audrey,Barrows,51 Mia Track,ARCADIA SOUTH,VIC,3631,4936 Daniel Court,ANDREWS FARM,SA,5114,"(-33.6365039, 151.3290299)","(-36.7077539, 144.3263626)"
mickey@yahoo.com,Mia,Schmitt,696 Abby Run,ARKELL,NSW,2795,8349 Annabelle Mews,AMATA,SA,872,"(-34.855289, 142.80087295681284)","(-32.0137091, 115.8366566)"
carmina.rutherford@gmail.com,Stephanie,O'hara,96 Charles Way,ANGASTON,SA,5353,65 Joshua Junction,ANULA,NT,812,"(-33.6929151, 141.7057254)","(-25.4623125, 152.66822764580698)"
alona@gmail.com,Phoenix,Muller,912 Thompson Circle,ALFRED COVE,WA,6154,29 Hannah Place,ASHMONT,NSW,2650,"(-28.020298, 151.9865208526317)","(-17.422809, 144.6478726166868)"
karan@hotmail.com,Lachlan,Thomson,62 Mueller Run,APPLEBY,NSW,2340,797 Isabella Terrace,ANGLERS REST,VIC,3898,"(-30.5144881, 151.6656564)","(-27.2187059, 152.8084209)"
glenn_robel@gmail.com,Beau,Gibson,487 Lincoln Mews,AVON,SA,5501,8110 Samantha Mall,ADAVALE,QLD,4474,"(-33.3910256, 149.5556273)","(-38.394622, 145.88277296771855)"
gus@gmail.com,Amelia,Stanton,396 Emma Mews,ASHBOURNE,VIC,3442,712 Max Mews,ASPENDALE GARDENS,VIC,3195,"(-36.869885, 146.1939993741425)","(-41.21302, 146.17677)"
karma.stanton@hotmail.com,Toby,Kovacek,9826 Adam Parkway,ANAKIE,VIC,3213,33 Stokes Court,ACHERON,VIC,3714,"(-33.8168462, 137.821986)","(-34.2237086, 118.2203895)"
elton@hotmail.com,Leo,Mills,203 Rolfson Knoll,ANTONYMYRE,WA,6714,8914 Griffiths Run,ALBERTON,VIC,3971,"(-33.3349302, 116.0994037)","(-32.4313903, 151.7738859)"
marcella_buckridge@yahoo.com,Jasper,Hall,157 Jacob Summit,ARMSTRONG BEACH,QLD,4737,66 Anthony Avenue,ABBEYWOOD,QLD,4613,"(-37.8378229, 144.8342853)","(-35.279293, 138.4604028)"
steve.nitzsche@gmail.com,Sarah,Shields,34 Kreiger Circle,ALLEENA,NSW,2671,378 Molly Manor,APPLEBY,NSW,2340,"(-42.33117, 147.44811)","(-34.4185998, 150.4953005)"
markus.morar@gmail.com,Lucy,Rees,2727 Durgan Loop,ASHWOOD,VIC,3147,66 Matthew Parade,ALI CURUNG,NT,872,"(-35.8095072, 145.2762733)","(-32.6983338, 151.5344427)"
bernardina.nienow@gmail.com,Maddison,Little,31 Thompson Manor,ALTONA,VIC,3018,424 Borer View Rd,ALBERTON,QLD,4207,"(-41.780565, 147.723155)","(-27.4138715, 152.42719678837207)"
fidel@yahoo.com,Lucas,Tillman,4985 Bosco Trail,ANTIGUA,QLD,4650,2447 Piper Square,AVONDALE,QLD,4670,"(-34.4252778, 150.6758333)","(-35.2673234, 138.4831296)"
sonya@hotmail.com,Victoria,Kiehn,30 Dooley Square,AVONSLEIGH,VIC,3782,55 Kai Mews,AUBIN GROVE,WA,6164,"(-37.8671223, 144.8294793)","(-34.3488941, 147.2175709)"
al@yahoo.com,Violet,Morrison,478 Schroeder Circuit,AVENEL,VIC,3664,61 Kohler Boulevard,ARDLETHAN,NSW,2665,"(-31.4470716, 148.4792822)","(-31.0816667, 152.7677778)"
lamont.damore@gmail.com,Sophia,O'conner,3282 Thompson Parade,BRUENBURGH,ACT,5930,3258 Olivia Grove,NEW ETHANTON,NSW,8679,"(-24.8726539, 152.3971072)","(-26.3453044, 152.6746864)"
tynisha@hotmail.com,Kiara,Kris,5081 Hermann Crest,ACACIA HILLS,NT,822,628 Ryan Station St,ASHBURTON,VIC,3147,"(-36.6721335, 143.8583019665265)","(-34.7563343, 139.2941415)"
emely_daniel@yahoo.com,Bella,Hayes,3364 Dickinson Station St,ASHFIELD,QLD,4670,8704 Holly Square,AMELUP,WA,6338,"(-33.6574838, 150.9460077)","(-27.707543, 153.26622308788458)"
janiece.simonis@hotmail.com,Heidi,Huel,8016 Hyatt Way,SOUTH GEORGE,NSW,1220,33 Michael Junction,MATTHEWBOROUGH,QLD,5439,"(-34.3064627, 150.9292162)","(-37.840864499999995, 145.85528242041127)"
blanch@yahoo.com,Ryan,Macdonald,767 Isabel Boulevard,ASHENDON,WA,6111,977 Huel Way,ACTON PARK,WA,6280,"(-33.66798, 115.1676)","(-34.5625775, 150.7978168)"
modesto_hagenes@gmail.com,Stephanie,O'connell,803 Hane Loop,AYLMERTON,NSW,2575,5675 Lewis Circle,ADELONG,NSW,2729,"(-27.509236, 151.6659979299971)","(-27.612617, 151.76928322570416)"
kermit@gmail.com,Declan,Harber,7328 Graham Square,ANGELO RIVER,WA,6642,420 Imogen Avenue,ANGOURIE,NSW,2464,"(-21.162400499999997, 149.09573347493057)","(-22.9710251, 145.2438709)"
gene@hotmail.com,Aidan,Davies,471 Lucy Station St,AMBLESIDE,TAS,7310,4822 Jacobi Knoll,ASHBOURNE,VIC,3442,"(-34.2582911, 137.7556003)","(-33.8505529, 151.129759)"
man@gmail.com,Edward,Hughes,33 Beahan Square,AUSTRAL,NSW,2179,77 Murray Meadow,ANGLERS REST,VIC,3898,"(-31.787069, 115.9862261)","(-31.787069, 115.9862261)"
joanie.feil@yahoo.com,Evie,Boyer,163 Griffiths Lane,ALEXANDRA HEADLAND,QLD,4572,642 Farrell Station St,ADAMSTOWN,NSW,2289,"(-37.085589999999996, 143.6693260420048)","(-37.7614537, 144.862141)"
lu@yahoo.com,Mason,Champlin,943 Gabriel Manor,ASCOT,VIC,3551,9381 Sam Avenue,AVALON BEACH,NSW,2107,"(-35.3074897, 148.0631466)","(-29.3257299, 151.0945365)"
junie@yahoo.com,Luke,Nguyen,30 Jessica Hill,APPLECROSS,WA,6153,3470 Wilderman Court,ANNUELLO,VIC,3549,"(-32.3620604, 151.5363314)","(-35.875072, 143.87390950506887)"
norene_little@gmail.com,Owen,Mason,1547 Kuhlman Junction,ALDERSHOT,QLD,4650,926 Maya Square,ANABRANCH SOUTH,NSW,2648,"(-34.026398, 138.6859174)","(-42.2081546, 147.4044661)"
